Sales_organisation_cd,APPLE_ID,CUST_ID,Legal Name,price_grp_cd,AUTH_DESCRIPTION,Billing_Block_Cd,Order_Block_Cd,Delivery_Block_Cd,Posting_Block_Cd,Sales_Block_Cd,Marked_For_Delete_Ind,Acct_Status_Cd
1200,242935,1223918,"""HK GENERIC GDV A/C""",,,,,,,,N,ACTIVE
1200,245158,563310,"""HON HAI PRECISION INDUSTRY CO.LTD""",P6,,,,,,,N,ACTIVE
1200,245158,1223962,"""HON HAI PRECISION INDUSTRY CO.LTD""",,,,,,,,N,ACTIVE
1200,245159,579893,"""ENGLISH SCHOOLS FOUNDATION""",PF,,,ZB,91,,,Y,INACTIVE
1200,245159,1223917,"""ENGLISH SCHOOLS FOUNDATION""",,,,,91,,,N,ACTIVE
1200,251483,589704,"""THE BANK OF EAST ASIA LIMITED""",DD,,,,,,,N,ACTIVE
1200,251483,1224377,"""THE BANK OF EAST ASIA LIMITED""",,,,,,,,N,ACTIVE
1200,252512,97843,"""ATOZTEC SOLUTIONS LTD. C/O""",P4,,,1,,,,N,INACTIVE
1200,252519,97873,"""SHENZHEN XINGANG-XING TECH.LTD""",P4,,,1,,,,N,INACTIVE
1200,252632,97879,"""KUNMING SOUTHERN COMPUTER CO.LTD""",P4,,,1,,,,N,INACTIVE
1200,264518,603899,"""FORTRESS RETAIL""",PH,,,ZB,91,,,N,INACTIVE
1200,264518,1224453,"""FORTRESS RETAIL""",,,,,91,,,N,ACTIVE
1200,264519,603892,"""FORTRESS SHOP 818""",PH,,,ZB,91,,,N,INACTIVE
1200,264519,1224378,"""FORTRESS SHOP 818""",,,,,91,,,N,ACTIVE
1200,266630,607270,"""SOUTH ISLAND SCHOOL""",PD,,,,,,,N,ACTIVE
1200,266630,1223889,"""SOUTH ISLAND SCHOOL""",,,,,,,,N,ACTIVE
1200,266675,607331,"""HO KOON NATURE EDUCATION""",PF,,,ZB,91,,,Y,INACTIVE
1200,266675,1223963,"""HO KOON NATURE EDUCATION""",,,,,91,,,N,ACTIVE
1200,266966,607692,"""TELEVISION BROADCASTS LTD""",P6,,,ZB,91,,,Y,INACTIVE
1200,266966,1224275,"""TELEVISION BROADCASTS LTD""",,,,,91,,,N,ACTIVE
1200,267516,608045,"""SHAW BROTHERS(HONG KONG) LTD""",P6,,,ZB,91,,,Y,INACTIVE
1200,267516,1224379,"""SHAW BROTHERS(HONG KONG) LTD""",,,,,91,,,N,ACTIVE
1200,268176,609028,"""HONG KONG INSTITUTE OF VOCATIONAL""",PD,,,ZB,,,,N,INACTIVE
1200,268176,789414,"""VOCATIONAL TRAINING COUNCIL""",PD,,,,,,,N,ACTIVE
1200,268202,609353,"""LINGNAN UNIVERSITY""",PD,,,,,,,N,ACTIVE
1200,268202,1223892,"""LINGNAN UNIVERSITY""",,,,,,,,N,ACTIVE
1200,268203,609453,"""HONG KONG BAPTIST UNIVERSITY""",PD,,,,,,,N,ACTIVE
1200,268203,1223893,"""HONG KONG BAPTIST UNIVERSITY""",,,,,,,,N,ACTIVE
1200,268204,609354,"""THE HONG KONG ACADEMY FOR""",PD,,,,,,,N,ACTIVE
1200,268204,1224284,"""THE HONG KONG ACADEMY FOR""",,,,,,,,N,ACTIVE
1200,268205,609351,"""GERMAN SWISS INTERNATIONAL SCHOOL""",PD,,,,,,,N,ACTIVE
1200,268205,1224454,"""GERMAN SWISS INTERNATIONAL SCHOOL""",,,,,,,,N,ACTIVE
1200,268206,609029,"""SHA TIN COLLEGE""",PD,,,,,,,N,ACTIVE
1200,268206,1223890,"""SHA TIN COLLEGE""",,,,,,,,N,ACTIVE
1200,268207,609021,"""HONG KONG POLYTECHNIC UNIVERSITY""",PD,,,,,,,N,ACTIVE
1200,268207,1224380,"""HONG KONG POLYTECHNIC UNIVERSITY""",,,,,,,,N,ACTIVE
1200,268209,609350,"""TIMES SQUARE LIMITED""",DD,,,ZB,91,,,Y,INACTIVE
1200,268209,1223891,"""TIMES SQUARE LIMITED""",,,,,91,,,N,ACTIVE
1200,268425,609454,"""HONG LOK YUEN INTERNATIONAL SCHOOL""",PD,,,,,,,N,ACTIVE
1200,268425,1224285,"""HONG LOK YUEN INTERNATIONAL SCHOOL""",,,,,,,,N,ACTIVE
1200,268718,610067,"""SINOCITY INDUSTRIES LIMITED""",,,,ZB,,,,Y,INACTIVE
1200,268719,610066,"""DESIGNER GROUP@MEGABOX""",,"APPLE CPU, IPAD, IPHONE, IPOD",,,,,,Y,INACTIVE
1200,270010,610262,"""THE CHINESE UNIVERSITY OF HONG KONG""",PD,,,,,,,N,ACTIVE
1200,270010,1224335,"""THE CHINESE UNIVERSITY OF HONG KONG""",,,,,,,,N,ACTIVE
1200,270011,610271,"""CITY UNIVERSITY OF HONG KONG""",PD,,,,,,,N,ACTIVE
1200,270011,1224286,"""CITY UNIVERSITY OF HONG KONG""",,,,,,,,N,ACTIVE
1200,270621,558064,"""CITY SUPER LIMITED""",PF,,,ZB,91,,,Y,INACTIVE
1200,270621,1223961,"""CITY SUPER LIMITED""",,,,,91,,,N,ACTIVE
1200,271491,611418,"""ISLAND SCHOOL""",PD,,,,,,,N,ACTIVE
1200,271491,1223964,"""ISLAND SCHOOL""",,,,,,,,N,ACTIVE
1200,273898,618818,"""FATBARS LIMITED""",P6,,,ZB,91,,,Y,INACTIVE
1200,273898,1223894,"""FATBARS LIMITED""",,,,,91,,,N,ACTIVE
1200,274397,617624,"""BRILLIANT ASCENT""",PH,APPLE CPU + IPOD,,ZB,91,,,Y,INACTIVE
1200,274397,1223929,"""BRILLIANT ASCENT""",,APPLE CPU + IPOD,,,91,,,N,ACTIVE
1200,277162,616884,"""J. WALTER THOMSON COMPANY""",P6,,,ZB,91,,,Y,INACTIVE
1200,277162,1224336,"""J. WALTER THOMSON COMPANY""",,,,,91,,,N,ACTIVE
1200,277191,616824,"""THE UNIVERSITY OF HONG KONG""",PD,,,,,,,N,ACTIVE
1200,277191,1224381,"""THE UNIVERSITY OF HONG KONG""",,,,,,,,N,ACTIVE
1200,277192,617708,"""UBS AG SINGAPORE BRANCH""",DD,,,ZB,91,,,Y,INACTIVE
1200,277192,1224497,"""UBS AG SINGAPORE BRANCH""",,,,,91,,,N,ACTIVE
1200,277193,617705,"""USB AG HONG KONG BRANCH""",,,,,,,,N,ACTIVE
